Name,Country,Competition,Year,All-Around Score Final,All-Around Score Qualif,Vault Score Final,Vault Score Qualif,Uneven Bars Score Final,Uneven Bars Score Qualif,Balance Beam Score Final,Balance Beam Score Qualif,Floor Exercise Score Final,Floor Exercise Score Qualif,Team Score Final,Team Score Qualif
MORENO Alexa,MEX,FIG World Cup 2019 BAKU (AZE),2019,,,14.249,14.533,,,,,,,,
MORENO Alexa,MEX,FIG World Cup 2019 MELBOURNE (AUS),2019 ,,,14.066,13.416,,,,,,,,
MORENO Alexa,MEX,43rd Turnier der Meister FIG Individual Apparatus World Cup COTTBUS (GER),2018,,,14.279,14.316,,,,,,,,
MORENO Alexa,MEX,World Challenge Cup 2016 ANADIA (POR),2016,,,14.812,14.95,,,,12.3,13.65,13.65,,
MORENO Alexa,MEX,Aquece Rio Final Gymnastics Qualifier (Test Event) RIO DE JANEIRO (BRA),2016,,54.065,,14.699,,12.2,,13.566,,13.433,,
MORENO Alexa,MEX,World Challenge Cup 2015 ANADIA (POR),2015,,,14.9,14.95,,,,,12.725,12.95,,
CAREY Jade,USA,Games of the XXXII Olympiad TOKYO (JPN),2021,54.199,56.265,12.416,15.166,,14.133,,12.866,14.366,14.1,,
CAREY Jade,USA,51st FIG Artistic Gymnastics World Championships LIVERPOOL (GBR),2022,54.698,55.132,14.516,14.483,,13.333,,13.133,13.733,14.066,166.564,167.263
CAREY Jade,USA,49th FIG Artistic Gymnastics World Championships STUTTGART (GER),2019,,29.5,14.883,15.2,,,,,,14.2,172.33,174.205
CAREY Jade,USA,47th FIG Artistic Gymnastics World Championships MONTREAL (CAN),2017,,29.166,14.766,14.849,,,,,14.2,14.1,,
CAREY Jade,USA,FIG World Challenge Cup 2022 PARIS (FRA),2022,,,14.375,14.35,,,13.75,13.4,,,,
CAREY Jade,USA,2018 Senior Pan American Championships LIMA (PER),2018,29.067,29.067,14.55,14.55,,,,,14.4,14.4,,
CAREY Jade,USA,FIG World Cup 2020 MELBOURNE (AUS),2020,,,14.866,15.049,,,,,14.366,14.366,,
CAREY Jade,USA,FIG World Cup 2019 DOHA (QAT),2019,,,14.883,14.883,,,,,14.466,14,,
CAREY Jade,USA,FIG World Cup 2019 BAKU (AZE),2019,,,14.766,14.7,,,,,14.6,13.6,,
CAREY Jade,USA,43rd Turnier der Meister FIG Individual Apparatus World Cup COTTBUS (GER),2018,,,14.516,14.483,,,,,13.3,13.966,,
CHILES Jordan,USA,Games of the XXXII Olympiad TOKYO (JPN),2021 ,,52.698,,,,12.866,,11.566,,13.566,166.096,170.562
CHILES Jordan,USA,51st FIG Artistic Gymnastics World Championships LIVERPOOL (GBR),2022,,53.998,14.35,14.316,,14.066,,11.366,13.833,14.1,166.564,167.263
CHILES Jordan,USA,FIG World Challenge Cup 2022 PARIS (FRA),2022,,,14.025,13.95,13.75,13.4,,,14.05,13.5,,
CHILES Jordan,USA,FIG EnBW DTB-Pokal Individual All-Around World Cup 2018 STUTTGART (GER),2018,52.932,,,,,,,,,,,
BILES Simone,USA,Games of the XXXII Olympiad TOKYO (JPN),2021,,57.731,,15.183,,14.566,14,14.066,,14.133,166.096,170.562
BILES Simone,USA,Games of the XXXI Olympiad RIO DE JANEIRO (BRA),2016,62.198,62.366,15.966,16.05,,15,14.733,15.633,15.966,15.733,184.897,185.238
BILES Simone,USA,52nd FIG Artistic Gymnastics World Championships ANTWERP (BEL),2023,58.399,58.865,14.549,14.949,14.2,14.4,14.8,14.566,14.633,14.633,167.729,171.395
BILES Simone,USA,49th FIG Artistic Gymnastics World Championships STUTTGART (GER),2019,58.999,59.432,15.399,15.199,14.7,14.733,15.066,14.8,15.133,14.833,172.33,174.205
BILES Simone,USA,48th FIG Artistic Gymnastics World Championships DOHA (QAT),2018 ,57.491,60.965,15.366,15.666,14.7,14.866,13.6,14.8,14.933,15.333,171.629,174.429
BILES Simone,USA,46th FIG Artistic Gymnastics World Championships GLASGOW (GBR),2015,60.399,61.598,15.541,15.633,,14.666,15.358,14.966,15.8,15.966,181.338,236.611
BILES Simone,USA,45th FIG Artistic Gymnastics World Championships NANNING (CHN),2014,60.231,59.599,15.554,15.45,,13.3,15.1,15.133,15.333,15.366,179.28,235.038
BILES Simone,USA,44th FIG Artistic Gymnastics World Championships ANTWERP (BEL),2013,60.216,60.133,15.595,15.55,14.716,14.8,14.333,14.4,15,15.033,,
BILES Simone,USA,FIG EnBW DTB-Pokal All-Around World Cup 2019 STUTTGART (GE,2019,58.8,,,,,,,,,,,
BILES Simone,USA,AT&T American Cup World Cup 2015 CII DALLAS (USA),2015,62.299,,,,,,,,,,,
LEE Sunisa,USA,Games of the XXXII Olympiad TOKYO (JPN),2021,57.433,57.166,,,14.5,15.2,13.866,14.2,,13.433,166.096,170.562
LEE Sunisa,USA,49th FIG Artistic Gymnastics World Championships STUTTGART (GER),2019,55.632,57.166,,,14.8,15,,13.4,14.133,14.2,172.33,174.205
RIVERA Hezly,USA,2nd FIG Artistic Gymnastics Junior World Championships ANTALYA (TUR),2023,,38.166,,,9.9,13.033,,12,12.833,13.133,102.198,
FENTON Georgia-Mae,GBR,52nd FIG Artistic Gymnastics World Championships ANTWERP (BEL),2023,,27.299,,,,14.033,,13.266,,,161.864,161.864
FENTON Georgia-Mae,GBR, 51st FIG Artistic Gymnastics World Championships LIVERPOOL (GBR),2022,,40.133,,,,14.133,,12.1,,,163.363,164.595
FENTON Georgia-Mae,GBR,50th FIG Artistic Gymnastics World Championships KITAKYUSHU (JPN),2021,50.299,50.69,,,,13.658,,11.733,,11.733,,
FENTON Georgia-Mae,GBR,49th FIG Artistic Gymnastics World Championships STUTTGART (GER),2019,,51.932,,,,14.333,,11.566,,12.5,161.495,161.963
FENTON Georgia-Mae,GBR,48th FIG Artistic Gymnastics World Championships DOHA (QAT),2018,,51.933,,,,13.2,,12.9,,12.433,,160.964
FENTON Georgia-Mae,GBR,47th FIG Artistic Gymnastics World Championships MONTREAL (CAN),2017,,14.533,,,,14.533,,,,,,
FENTON Georgia-Mae,GBR,FIG World Challenge Cup 2024 ANTALYA (TUR),2024,,,,,13.767,14.05,14.05,14,13.3,13.3,,
FENTON Georgia-Mae,GBR,2022 Senior European Championships MUNICH (GER),2022,,,,,13.633,13.9,,,,,,
FENTON Georgia-Mae,GBR,32nd Senior European Championships GLASGOW (GBR),2018,38.132,,,,,12.666,,12.266,12.633,13.2,,
FENTON Georgia-Mae,GBR,FIG World Cup 2020 BAKU (AZE),2020,,,,,,11.8,,11.466,,,,
FENTON Georgia-Mae,GBR,FIG World Challenge Cup PARIS (FRA),2019,,,,,13.35,14.05,13,13.6,,11.6,,
FENTON Georgia-Mae,GBR,FIG World Challenge Cup - 20th Internationaux de France 2017 PARIS (FRA),2017,,,,,12.6,13.85,,11.75,,,,
FENTON Georgia-Mae,GBR,FIG World Challenge Cup VARNA (BUL),2017 ,,,,,12.1,12.55,12.5,12.4,12.25,12.15,,
MARTIN Abigail,GBR,FIG Apparatus World Cup 2024 - Qualifying OG 2024 COTTBUS (GER),2024 ,,,12.65,13,,11.833,,12.1,12.966,13.066,,
MARTIN Abigail,GBR,FIG World Challenge Cup 2024 OSIJEK (CRO),2024,,,12.833,12.899,,12.166,,11.333,12.533,12.733,,
MARTIN Abigail,GBR,2nd FIG Artistic Gymnastics Junior World Championships ANTALYA (TUR),2023,50.266,49.131,12.849,12.983,,12.233,,11.666,12.533,12.566,97.263,
KINSELLA Alice,GBR,Games of the XXXII Olympiad TOKYO (JPN),2021,,51.665,,,,12.633,,12.1,,12.766,164.096,163.396
KINSELLA Alice,GBR,52nd FIG Artistic Gymnastics World Championships ANTWERP (BEL),2023,54.032,53.299,,,,13.533,,12.133,12.666,13.633,161.864,166.13
KINSELLA Alice,GBR,51st FIG Artistic Gymnastics World Championships LIVERPOOL (GBR),2022,55.065,53.798,,,,14.166,,13.066,,12.3,163.363,164.595
KINSELLA Alice,GBR,49th FIG Artistic Gymnastics World Championships STUTTGART (GER,2019,54.765,54.132,,,,13.966,,13.433,,12.433,161.495,161.963
KINSELLA Alice,GBR,48th FIG Artistic Gymnastics World Championships DOHA (QAT),2018,,39.333 ,,,,,,12.3,,12.733,,160.964
KINSELLA Alice,GBR,47th FIG Artistic Gymnastics World Championships MONTREAL (CAN),2017,,51.365,,,,13.533,,11.2,,12.966,,
KINSELLA Alice,GBR,2022 Senior European Championships MUNICH (GER),2022,,54.132,,,11.666,13.966,,13.033,,13.533,,
KINSELLA Alice,GBR,9th European Individual Championships BASEL (SUI),2021,,53.09,,,,13.166,,12.666,,13.033,,
KINSELLA Alice,GBR,8th European Individual Championships SZCZECIN (POL),2019,50.666,54.432,,,,13.8,13.566,13.566,13.1,13.066,,
KINSELLA Alice,GBR,32nd Senior European Championships GLASGOW (GBR),2018,39.633,,,,,,12.633,,12.9,,,
KINSELLA Alice,GBR,7th European Individual Championships CLUJ NAPOCA (ROU),2017,52.099,51.99,,,,,,,,,,
KINSELLA Alice,GBR,31st European Championships 2016 BERN (SUI),2016,53.498,55.465,,,13.808,13.866,14.166,14,13.866,13.633,163.912,
KINSELLA Alice,GBR,FIG Individual All-Around World Cup 2018 BIRMINGHAM (GBR),2018,53.099,,,,,,,,,,,
KINSELLA Alice,GBR,FIG EnBW DTB-Pokal Individual All-Around World Cup 2017 STUTTGART (GER),2017,47.099,,,,,,,,,,,
DOWNIE Rebecca,GBR,Games of the XXXI Olympiad RIO DE JANEIRO (BRA),2016,,28.533,,,,15.233,,13.3,,,174.362,174.064
DOWNIE Rebecca,GBR,Games of the XXIX Olympiad BEIJING (CHN),2008,59.45,58.075,,,,,,,,,,232.425
DOWNIE Rebecca,GBR,50th FIG Artistic Gymnastics World Championships KITAKYUSHU (JPN),2021,,,,,,14,,13.333,,,,
DOWNIE Rebecca,GBR,49th FIG Artistic Gymnastics World Championships STUTTGART (GER),2019,,27.9,,,15,14.8,,13.1,,,161.495,161.963
DOWNIE Rebecca,GBR,48th FIG Artistic Gymnastics World Championships DOHA (QAT,2018,,14.4,,,13.333,14.4,,,,,,160.964
DOWNIE Rebecca,GBR,46th FIG Artistic Gymnastics World Championships GLASGOW (GBR),2015,,27.6,,,,13.5,,14.1,,,172.38,227.162
DOWNIE Rebecca,GBR,45th FIG Artistic Gymnastics World Championships NANNING (CHN),2014,,29.366,,,15.166,15.166,,14.2,,,168.495,224.596
DOWNIE Rebecca,GBR,44th FIG Artistic Gymnastics World Championships ANTWERP (BEL),2013,,28.7,,,13.8,15.1,,13.6,,,,
DOWNIE Rebecca,GBR,43rd FIG Artistic Gymnastics World Championships TOKYO (JPN),2011,,25.333,,,,14.233,,11.1,,,169.67,220.553
DOWNIE Rebecca,GBR,42nd FIG Artistic Gymnastics World Championships ROTTERDAM (NED),2010,,42.033,,,,14.3,,14.033,,,166.828,224.921
DOWNIE Rebecca,GBR,41st FIG Artistic Gymnastics World Championships LONDON (GBR),2009,53.775,53.775,,13.85,,13.675,,12.5,,13.3,,
DOWNIE Rebecca,GBR,40th FIG Artistic Gymnastics World Championships STUTTGART (GER),2007,,,,,,,,,,,169.175,
DOWNIE Rebecca,GBR,FIG Apparatus World Cup 2024 - Qualifying OG 2024 CAIRO (EGY),2024,,,,,12.933,13.933,,12.533,,11.933,,
DOWNIE Rebecca,GBR,7th European Individual Championships CLUJ NAPOCA (ROU),2017,,,,,13,14.433,,13.333,,,,
DOWNIE Rebecca,GBR,31st European Championships 2016 BERN (SUI),2016,,29.366,,,15.5,15.033,14.066,14.333,,,170.312,173.363
DOWNIE Rebecca,GBR,6th European Individual Championships 2015 MONTPELLIER (FRA),2015,,29.599,,,15.233,15.233,14.3,14.366,,,,
DOWNIE Rebecca,GBR,European Championships 2014 SOFIA (BUL),2014,,43.9,,14.6,15.5,15.1,14.366,14.2,,,170.663,172.147
DOWNIE Rebecca,GBR,5th European individual Championships 2013 MOSCOW (RUS),2013,,14.733,,,13,14.733,,,,,,
DOWNIE Rebecca,GBR,FIG World Challenge Cup PARIS (FRA),2018,,,,,,13.15,,,,,,
DOWNIE Rebecca,GBR,Aquece Rio Final Gymnastics Qualifier (Test Event) RIO DE JANEIRO (BRA),2016,,25.866,,,,12.633,,13.233,,,,
EVANS Ruby,GBR,52nd FIG Artistic Gymnastics World Championships ANTWERP (BEL),2023,,26.232,,,,,,,,13.166,161.864,166.13
EVANS Ruby,GBR,FIG Apparatus World Cup 2024 - Qualifying OG 2024 DOHA (QAT),2024,,,,7.016,,,,11.433,13.3,13.266,,
EVANS Ruby,GBR,FIG Apparatus World Cup 2023 COTTBUS (GER),2023,,,13.183,13.2,,12.3,13.033,12.833,13.466,13.5,,
EVANS Ruby,GBR,FIG World Challenge Cup 2024 VARNA (BUL),2024,,,,,,10.2,12.866,12.8,13.3,13.5,,
STEWART Ava,CAN,Games of the XXXII Olympiad TOKYO (JPN),2021,,50.433,,,,12.9,,12,,12.6,,160.964
STEWART Ava,CAN,52nd FIG Artistic Gymnastics World Championships ANTWERP (BEL),2023,,38.999,,,,12.8,,,,12.733,,157.229
STEWART Ava,CAN,FIG Apparatus World Cup 2023 CAIRO (EGY),2023,,,,12.15,12.933,13.033,,10.166,,12.1,,
STEWART Ava,CAN,FIG World Challenge Cup 2023 SZOMBATHELY (HUN),2023,,,,12,,11.8,11.733,13.6,12.3,12.6,,
TRAN Aurelie,CAN,52nd FIG Artistic Gymnastics World Championships ANTWERP (BEL),2023,,50.899,,,,13.133,,11.933,,12.6,,157.229
TRAN Aurelie,CAN,2023 Senior Pan American Championships MEDELLIIN (COL),2023,52.867,,,,13.567,,13.167,,13.033,,,
BLACK Elsabeth,CAN,Games of the XXXII Olympiad TOKYO (JPN),2021,,53.699,,14.416,,12.8,13.866,14.1,,12.266,,160.964
BLACK Elsabeth,CAN,Games of the XXXI Olympiad RIO DE JANEIRO (BRA),2016,58.298,56.965,,14.499,,14.5,,13.566,,14.133,,171.761
BLACK Elsabeth,CAN,Games of the XXX Olympiad LONDON (GBR),2012,,,,14.366,,,,13.966,,14.233,170.804,167.696
BLACK Elsabeth,CAN,52nd FIG Artistic Gymnastics World Championships ANTWERP (BEL),2023,51.966,55.065,13.933,13.766,13.8,14.133,,13.566,,13.4,,157.229
BLACK Elsabeth,CAN,51st FIG Artistic Gymnastics World Championships LIVERPOOL (GBR),2022,54.732,54.131,14.116,13.749,,13.933,13.566,13.266,,13.266,160.563,159.661
BLACK Elsabeth,CAN,49th FIG Artistic Gymnastics World Championships STUTTGART (GER),2019,56.232,55.199,,14.25,,14.266,,13.533,,13.2,160.563,162.922
BLACK Elsabeth,CAN,48th FIG Artistic Gymnastics World Championships DOHA (QAT),2018,54.133 ,54.999,14.116,14.124,,14,13.033,13.733,,13.233,161.644,163.897
BLACK Elsabeth,CAN,47th FIG Artistic Gymnastics World Championships MONTREAL (CAN),2017,55.132,55.766,14.416,14.483,,14.4,12.4,13.433,12.9,13.433,,
BLACK Elsabeth,CAN,46th FIG Artistic Gymnastics World Championships GLASGOW (GBR),2015,56.758,57.299,,14.7,,13.733,13.466,14.6,,14.166,167.697,222.78
BLACK Elsabeth,CAN,45th FIG Artistic Gymnastics World Championships NANNING (CHN),2014,56.132,55.532,,14.483,,13.766,13.7,14.466,,13,,214.136
BLACK Elsabeth,CAN,44th FIG Artistic Gymnastics World Championships ANTWERP (BEL),2013,54.965,55.465 ,,14.383,,13.366,,13.833,13.566,14,,
BLACK Elsabeth,CAN,FIG World Challenge Cup 2022 PARIS (FRA),2022,,,,,13.85,13.9,13.7,13,,,,
BLACK Elsabeth,CAN,American Cup All-Around FIG World Cup 2020 MILWAUKEE (USA),2020,53.299,,,,,,,,,,,
BLACK Elsabeth,CAN,FIG 2019 Artistic Gymnastics All-Around World Cup Tokyo​ ​ TOKYO (JPN),2019,55.032,,,,,,,,,,,
BLACK Elsabeth,CAN,American Cup All-Around FIG World Cup 2019 GREENSBORO (USA),2019,55.732,,,,,,,,,,,
BLACK Elsabeth,CAN,FIG World Challenge Cup PARIS (FRA),2018,,,14.2,14.35,13.6,13.8,13.9,12.4,13.05,13.15,,
BLACK Elsabeth,CAN,FIG World Challenge Cup 2017 KOPER (SLO),2017,,,13.725,13.475,13.8,13.65,13.1,13.3,12.85,12.85,,
BLACK Elsabeth,CAN,AT&T American Cup World Cup 2016 C II NEWARK (USA),2016,57.132,,,,,,,,,,,
BLACK Elsabeth,CAN,AT&T American Cup World Cup 2015 CII DALLAS (USA),2015,56.132,,,,,,,,,,,
BLACK Elsabeth,CAN,Glasgow 2014 World Cup C II GLASGOW (GBR),2014,56.432,,,,,,,,,,,
BLACK Elsabeth,CAN,ENBW DTB World Cup 2014 C II STUTTGART (GER),2014,55.199,,,,,,,,,,,
LEE Cassandra,CAN,52nd FIG Artistic Gymnastics World Championships ANTWERP (BEL),2023,,35.466,,,,,,9.7,,12.666,,157.229
LEE Cassandra,CAN,50th FIG Artistic Gymnastics World Championships KITAKYUSHU (JPN),2021,,,,,,,,12.633,,,,
LEE Cassandra,CAN,2023 Senior Pan American Championships MEDELLIIN (COL),2023,,,,,,,13.133,,,,,
LEE Cassandra,CAN,1st FIG Artistic Gymnastics Junior World Championships GYOR (HUN),2019,50.065,50.065,,12.566,,12.033,,12.833,,12.433,100.13,
LEE Cassandra,CAN,FIG World Challenge Cup KOPER (SLO),2021,,,,,,,13.05,13.3,12.5,12.4,,
OLSEN Shallon,CAN,Games of the XXXII Olympiad TOKYO (JPN),2021,,51.965,14.55,14.699,,11.9,,12.066,,13.033,,160.964
OLSEN Shallon,CAN,Games of the XXXI Olympiad RIO DE JANEIRO (BRA),2016,,29.166,14.816,14.95,,,,,,13.866,,171.761
OLSEN Shallon,CAN,49th FIG Artistic Gymnastics World Championships STUTTGART (GER),2019,,27.524,14.733,14.683,,,,,,12.691,160.563,162.922
OLSEN Shallon,CAN,48th FIG Artistic Gymnastics World Championships DOHA (QAT),2018,,40.266,14.516,14.55,,,,12.833,,12.733,161.644,163.897
OLSEN Shallon,CAN,47th FIG Artistic Gymnastics World Championships MONTREAL (CAN),2017,,27.499,14.233,14.649,,,,,,13.133,,
OLSEN Shallon,CAN,2022 Senior Pan American Championships RIO DE JANEIRO (BRA),2022,,,13.15,,,,,,,,,
OLSEN Shallon,CAN,FIG World Challenge Cup VARNA (BUL),2017,,,14.225,14.15,,,,,12.95,12.8,,
ZHOU Yaqin,CHN,52nd FIG Artistic Gymnastics World Championships ANTWERP (BEL),2023,,41.199,,,,,14.7,14.5,13.3,13.766,163.162,165.663
ZHOU Yaqin,CHN,FIG Apparatus World Cup 2024 - Qualifying OG 2024 COTTBUS (GER),2024,,,,,,,14.9,14.533,13.733,13.6,,
OU Yushan,CHN,Games of the XXXII Olympiad TOKYO (JPN),2021,,,,,,13.5,,13.933,,,161.196,166.863
OU Yushan,CHN,52nd FIG Artistic Gymnastics World Championships ANTWERP (BEL),2023,,54.632,,,,14.1,,14.066,,13.366,163.162,165.663
OU Yushan,CHN,51st FIG Artistic Gymnastics World Championships LIVERPOOL (GBR),2022,53.899,54.466,,,,14.166,13,13.9,,13.4,157.529,162.064
OU Yushan,CHN,FIG Apparatus World Cup 2024 - Qualifying OG 2024 BAKU (AZE),2024,,,,,,,,12.766,13.533,13.433,,
OU Yushan,CHN,1st FIG Artistic Gymnastics Junior World Championships GYOR (HUN),2019,54.931,54.931,,,13.766,13.966,12,14.066,13.833,13.666,109.497,
QIU Qiyuan,CHN,52nd FIG Artistic Gymnastics World Championships ANTWERP (BEL),2023,54.799,54.666,,,15.1,14.9,,13.8,,12.833,163.162,165.663
QIU Qiyuan,CHN,FIG Apparatus World Cup 2023 BAKU (AZE),2023,,,,,14.7,14.766,,12.7,,,,
QIU Qiyuan,CHN,FIG Apparatus World Cup 2023 DOHA (QAT),2023,,,,,11.633,14.766,12.233,13.266,,,,
ZHANG Yihan,CHN,FIG Apparatus World Cup 2024 - Qualifying OG 2024 COTTBUS (GER),2024,,,,12.749,13.6,14.5,,,,,,
LUO Huan,CHN,48th FIG Artistic Gymnastics World Championships DOHA (QAT),2018,54.332,54.131,,,14.5,14.466,,13.266,,12.933,162.396,165.196
LUO Huan,CHN,47th FIG Artistic Gymnastics World Championships MONTREAL (CAN),2017,,27.032,,,14.566,14.566,,12.466,,,,
LUO Huan,CHN,FIG Apparatus World Cup 2024 - Qualifying OG 2024 CAIRO (EGY),2024,,,,,13.966,13.633,,,,,,
LUO Huan,CHN,7th Senior Asian Championships 2017 BANGKOK (THA),2017,55.7,,,,14.475,14.15,14.35,14.75,12.8,13.15,165.2,
LUO Huan,CHN,Asian Games XVIII 2018 JAKARTA (INA),2018,54.55,54.55,,,14.225,14.6,,14.1,,12.15,165.25,166.1
LUO Huan,CHN,FIG World Cup 2018 BAKU (AZE,2018,,,,,14.433,14.333,13.4,12.666,,,,
LUO Huan,CHN,FIG World Cup 2017 DOHA (QAT),2017,,,,,14.433,14.433,13.7,13.233,,,,
LUO Huan,CHN,FIG World Cup 2017 MELBOURNE (AUS),2017,,,,,13.866,14.4,12.866,14.366,,,,
LUO Huan,CHN,9th World Challenge Cup 2016 DOHA (QAT),2016,,,,,,,12.575,13.7,,,,
BARBOSA Jade,BRA,Games of the XXXI Olympiad RIO DE JANEIRO (BRA),2016,21.2,56.499,,,,14.266,,13.6,,13.733,172.087,174.054
BARBOSA Jade,BRA,Games of the XXIX Olympiad BEIJING (CHN),2008,59.55,59.5,14.487,15.05,,,,,,,174.875,233.8
BARBOSA Jade,BRA,52nd FIG Artistic Gymnastics World Championships ANTWERP (BEL),2023,,51.832,,,,12.766,,12.4,,12.833,165.53,164.297
BARBOSA Jade,BRA,49th FIG Artistic Gymnastics World Championships STUTTGART (GER),2019,,14.133,,,,,,,,,,157.596
BARBOSA Jade,BRA,48th FIG Artistic Gymnastics World Championships DOHA (QAT),2018,52.866,52.733,,,,13.333,,11.7,,13.2,159.83,162.529
BARBOSA Jade,BRA,46th FIG Artistic Gymnastics World Championships GLASGOW (GBR),2015,,54.099,,,,11.633,,14.2,,13.433,,221.861
BARBOSA Jade,BRA,43rd FIG Artistic Gymnastics World Championships TOKYO (JPN),2011,,53.733,14.566,14.266,,13.2,,13.233,,12.9,,212.497
BARBOSA Jade,BRA,42nd FIG Artistic Gymnastics World Championships ROTTERDAM (NED),2010,55.665,54.766,14.799,14.633,,13.3,,12.933,,13.633,,217.13
BARBOSA Jade,BRA,40th FIG Artistic Gymnastics World Championships STUTTGART (GER),2007,60.55,,15.162,,,,14.575,,,,175.125,
BARBOSA Jade,BRA,FIG World Challenge Cup 2024 ANTALYA (TUR),2024,,,,,,,,,13.833,13.35,,
BARBOSA Jade,BRA,FIG World Challenge Cup 2023 PARIS (FRA),2023,,,,,,,,,13.4,13.15,,
BARBOSA Jade,BRA,FIG World Challenge Cup 2023 OSIJEK (CRO),2023,,,,,,11.166,,,,,,
BARBOSA Jade,BRA,2018 Senior Pan American Championships LIMA (PER),2018,52.2,52.2,,,13.433,13.433,12.767,12.767,13.333,13.333,,
BARBOSA Jade,BRA,43rd Turnier der Meister FIG Individual Apparatus World Cup COTTBUS (GER),2018,,,13.983,13.966,,,,,13.55,13.533,,
BARBOSA Jade,BRA,Aquece Rio Final Gymnastics Qualifier (Test Event) RIO DE JANEIRO (BRA),2016,,55.823,,,,12.733,12.066,14.233,,13.891,226.477,
BARBOSA Jade,BRA,World Challenge Cup 2015 OSIJEK (CRO),2015,,,,,,,14.225,14.35,,,,
BARBOSA Jade,BRA,XXX Olympic Games - Test Events LONDON (GBR),2012,53.456,,14.799,14.649,,13.133,,11.866,,13.691,217.985,
ANDRADE Rebeca,BRA,Games of the XXXII Olympiad TOKYO (JPN),2021,57.298,57.399,15.083,15.1,,14.2,,13.733,14.033,14.066,,
ANDRADE Rebeca,BRA,Games of the XXXI Olympiad RIO DE JANEIRO (BRA),2016,56.965,58.732,,,,14.933,,14.2,,14.033,172.087,174.054
ANDRADE Rebeca,BRA,52nd FIG Artistic Gymnastics World Championships ANTWERP (BEL),2023,56.766,56.599,14.75,14.633,,13.866,14.3,13.8,14.5,14.033,165.53,164.297
ANDRADE Rebeca,BRA,51st FIG Artistic Gymnastics World Championships LIVERPOOL (GBR),2022,56.899,57.332,,13.266,12.8,14.666,12.733,13.4,13.733,14.2,159.661,163.563
ANDRADE Rebeca,BRA,50th FIG Artistic Gymnastics World Championships KITAKYUSHU (JPN),2021,,,14.966,14.8,14.633,15.1,12.5,13.4,,,,
ANDRADE Rebeca,BRA,48th FIG Artistic Gymnastics World Championships DOHA (QAT),2018,,41.532,,,,14.333,,12.633,,,159.83,162.529
ANDRADE Rebeca,BRA,FIG World Challenge Cup 2024 ANTALYA (TUR),2024,,,,,14.067,14.7,,,,,,
ANDRADE Rebeca,BRA,FIG World Challenge Cup 2023 PARIS (FRA),2023,,,,,14.6,14.55,,,,,,
ANDRADE Rebeca,BRA,FIG World Challenge Cup 2022 PARIS (FRA,2022,,,,,14.65,14.6,,,,,,
ANDRADE Rebeca,BRA,2022 Senior Pan American Championships RIO DE JANEIRO (BRA),2022,,,,,14.967,,14.067,,,,,
ANDRADE Rebeca,BRA,2021 Senior Pan American Championships RIO DE JANEIRO (BRA),2021,56.7,,,,,,,,,,,
ANDRADE Rebeca,BRA,2018 Senior Pan American Championships LIMA (PER),2018,27.733,27.733,,,13.7,13.7,,,,,,
